motif,NumOfProbes,PercentageOfProbes,lowerOR,upperOR,OR,p.value,FDR,TF family,TF subfamily,TF.family.member,TF.subfamily.member
HXA11_HUMAN.H11MO.0.D,10,0.12658227848101267,1.3538702043319604,6.3025716737724995,3.067407921698415,0.0040193516197567615,0.04131893465109951,HOX-related factors{3.1.1},HOX9-13{3.1.1.8},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F2;POU6F1;POU6F2,HOXA10;HOXA11;HOXA13;HOXA9;HOXB13;HOXC10;HOXC11;HOXC12;HOXC13;HOXC9;HOXD10;HOXD11;HOXD12;HOXD13;HOXD9
ZBED1_HUMAN.H11MO.0.D,15,0.189873417721519,1.3339705418841121,4.74725511517797,2.5897168749408466,0.0032689297324806537,0.03549781441890963,BED zinc finger factors{2.3.5},"ZBED1 (ALTE, DREF, TRAMP){2.3.5.0.1}",ZBED1;ZBED2;ZBED3;ZBED4;ZBED5;ZBED6,ZBED1
EVI1_HUMAN.H11MO.0.B,11,0.13924050632911392,1.316409818955177,5.695346246921057,2.8600673597351256,0.004339108012905269,0.04401910892039425,Factors with multiple dispersed zinc fingers{2.3.4},Evi-1-like factors{2.3.4.14},BCL11A;BCL11B;BNC1;BNC2;E4F1;HIC1;HIC2;HINFP;HIVEP1;HIVEP2;HIVEP3;IKZF1;IKZF2;IKZF3;IKZF4;IKZF5;INSM1;INSM2;MAZ;MECOM;PATZ1;PRDM16;PRDM4;REST;RLF;RREB1;SALL1;SALL2;SALL3;SALL4;VEZF1;ZBTB1;ZBTB17;ZBTB2;ZBTB25;ZBTB4;ZFAT;ZNF134;ZNF211;ZNF217;ZNF219;ZNF248;ZNF256;ZNF292;ZNF296;ZNF319;ZNF334;ZNF335;ZNF341;ZNF37A;ZNF382;ZNF417;ZNF418;ZNF423;ZNF467;ZNF510;ZNF512;ZNF512B;ZNF516;ZNF518A;ZNF518B;ZNF521;ZNF526;ZNF532;ZNF536;ZNF552;ZNF574;ZNF587;ZNF587B;ZNF592;ZNF639;ZNF654;ZNF658;ZNF671;ZNF687;ZNF711;ZNF717;ZNF770;ZNF772;ZNF784;ZNF786;ZNF792;ZNF8;ZNF814,MECOM
CPEB1_HUMAN.H11MO.0.D,20,0.25316455696202533,1.26900203034171,3.917581070121716,2.2710606328819165,0.0037086739185987947,0.03916969303068042,,,CPEB1,CPEB1
SOX9_HUMAN.H11MO.1.B,12,0.1518987341772152,1.255079656337716,5.099071789982391,2.630342867013384,0.008982794013862086,0.07960614005388125,SOX-related factors{4.1.1},Group E{4.1.1.5},BBX;CIC;HBP1;SOX1;SOX10;SOX11;SOX12;SOX13;SOX14;SOX15;SOX17;SOX18;SOX2;SOX21;SOX3;SOX30;SOX4;SOX5;SOX6;SOX7;SOX8;SOX9;SRY,SOX10;SOX8;SOX9
ZN232_HUMAN.H11MO.0.D,8,0.10126582278481013,1.2376721745539074,6.893565880685312,3.116669240950633,0.008420444712819032,0.07637838674804087,More than 3 adjacent zinc finger factors{2.3.3},ZNF24-like factors{2.3.3.10},BCL6;BCL6B;CTCF;CTCFL;FEZF1;FEZF2;GFI1;GFI1B;GLI1;GLI2;GLI3;GLI4;GLIS1;GLIS2;GLIS3;HKR1;MTF1;MYNN;MZF1;OSR2;OVOL1;OVOL2;PLAG1;PLAGL1;PLAGL2;PRDM1;PRDM14;PRDM6;SCRT1;SCRT2;SNAI1;SNAI2;SNAI3;WT1;YY1;YY2;ZBTB12;ZBTB14;ZBTB18;ZBTB20;ZBTB26;ZBTB42;ZBTB45;ZBTB47;ZBTB48;ZBTB49;ZBTB6;ZBTB7A;ZBTB7B;ZBTB7C;ZFP14;ZFP2;ZFP28;ZFP30;ZFP37;ZFP42;ZFP64;ZFP69;ZFP69B;ZFP82;ZFP91;ZFX;ZIC1;ZIC2;ZIC3;ZIC4;ZIC5;ZIK1;ZIM3;ZKSCAN1;ZKSCAN2;ZKSCAN3;ZKSCAN4;ZNF121;ZNF124;ZNF133;ZNF136;ZNF138;ZNF14;ZNF140;ZNF143;ZNF146;ZNF148;ZNF155;ZNF157;ZNF160;ZNF169;ZNF175;ZNF177;ZNF18;ZNF180;ZNF181;ZNF2;ZNF20;ZNF212;ZNF213;ZNF214;ZNF221;ZNF222;ZNF223;ZNF224;ZNF225;ZNF226;ZNF227;ZNF229;ZNF230;ZNF232;ZNF233;ZNF234;ZNF235;ZNF24;ZNF25;ZNF250;ZNF257;ZNF26;ZNF260;ZNF263;ZNF264;ZNF268;ZNF274;ZNF276;ZNF28;ZNF280A;ZNF280B;ZNF280C;ZNF280D;ZNF281;ZNF282;ZNF283;ZNF284;ZNF285;ZNF286A;ZNF286B;ZNF3;ZNF30;ZNF300;ZNF302;ZNF317;ZNF32;ZNF320;ZNF322;ZNF324;ZNF324B;ZNF329;ZNF331;ZNF333;ZNF33A;ZNF33B;ZNF343;ZNF345;ZNF347;ZNF350;ZNF354A;ZNF354B;ZNF362;ZNF366;ZNF383;ZNF384;ZNF394;ZNF397;ZNF398;ZNF404;ZNF41;ZNF410;ZNF419;ZNF420;ZNF431;ZNF432;ZNF436;ZNF439;ZNF44;ZNF440;ZNF442;ZNF443;ZNF446;ZNF449;ZNF45;ZNF460;ZNF468;ZNF479;ZNF484;ZNF490;ZNF500;ZNF502;ZNF524;ZNF525;ZNF528;ZNF543;ZNF544;ZNF546;ZNF547;ZNF548;ZNF549;ZNF554;ZNF555;ZNF557;ZNF558;ZNF559;ZNF561;ZNF562;ZNF563;ZNF564;ZNF566;ZNF567;ZNF568;ZNF57;ZNF570;ZNF571;ZNF572;ZNF577;ZNF581;ZNF582;ZNF583;ZNF585A;ZNF586;ZNF589;ZNF595;ZNF599;ZNF600;ZNF605;ZNF607;ZNF611;ZNF613;ZNF614;ZNF615;ZNF616;ZNF619;ZNF620;ZNF621;ZNF625;ZNF627;ZNF649;ZNF652;ZNF653;ZNF665;ZNF667;ZNF669;ZNF670;ZNF672;ZNF679;ZNF680;ZNF683;ZNF689;ZNF692;ZNF701;ZNF705D;ZNF705E;ZNF705G;ZNF708;ZNF709;ZNF71;ZNF710;ZNF713;ZNF721;ZNF727;ZNF729;ZNF736;ZNF75A;ZNF75D;ZNF76;ZNF763;ZNF764;ZNF765;ZNF768;ZNF77;ZNF771;ZNF773;ZNF774;ZNF776;ZNF777;ZNF780A;ZNF780B;ZNF782;ZNF785;ZNF799;ZNF805;ZNF808;ZNF81;ZNF813;ZNF816;ZNF823;ZNF829;ZNF836;ZNF841;ZNF844;ZNF845;ZNF846;ZNF85;ZNF853;ZNF860;ZNF878;ZNF891;ZNF99;ZSCAN16;ZSCAN2;ZSCAN22;ZSCAN23;ZSCAN29;ZSCAN31;ZSCAN32;ZSCAN4;ZSCAN5A;ZSCAN5B;ZSCAN5C;ZSCAN9;ZXDA;ZXDB;ZXDC,ZKSCAN1;ZNF232;ZSCAN31
MNX1_HUMAN.H11MO.0.D,12,0.1518987341772152,1.2191798569198316,4.943762045347709,2.553134838162358,0.00975847970674544,0.08453694217865994,HOX-related factors{3.1.1},MNX{3.1.1.13},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F2;POU6F1;POU6F2,MNX1
OZF_HUMAN.H11MO.0.C,11,0.13924050632911392,1.2180040120531102,5.24229794753783,2.639938625791676,0.007313652472881636,0.0687661714218505,More than 3 adjacent zinc finger factors{2.3.3},ZNF146-like factors{2.3.3.55},BCL6;BCL6B;CTCF;CTCFL;FEZF1;FEZF2;GFI1;GFI1B;GLI1;GLI2;GLI3;GLI4;GLIS1;GLIS2;GLIS3;HKR1;MTF1;MYNN;MZF1;OSR2;OVOL1;OVOL2;PLAG1;PLAGL1;PLAGL2;PRDM1;PRDM14;PRDM6;SCRT1;SCRT2;SNAI1;SNAI2;SNAI3;WT1;YY1;YY2;ZBTB12;ZBTB14;ZBTB18;ZBTB20;ZBTB26;ZBTB42;ZBTB45;ZBTB47;ZBTB48;ZBTB49;ZBTB6;ZBTB7A;ZBTB7B;ZBTB7C;ZFP14;ZFP2;ZFP28;ZFP30;ZFP37;ZFP42;ZFP64;ZFP69;ZFP69B;ZFP82;ZFP91;ZFX;ZIC1;ZIC2;ZIC3;ZIC4;ZIC5;ZIK1;ZIM3;ZKSCAN1;ZKSCAN2;ZKSCAN3;ZKSCAN4;ZNF121;ZNF124;ZNF133;ZNF136;ZNF138;ZNF14;ZNF140;ZNF143;ZNF146;ZNF148;ZNF155;ZNF157;ZNF160;ZNF169;ZNF175;ZNF177;ZNF18;ZNF180;ZNF181;ZNF2;ZNF20;ZNF212;ZNF213;ZNF214;ZNF221;ZNF222;ZNF223;ZNF224;ZNF225;ZNF226;ZNF227;ZNF229;ZNF230;ZNF232;ZNF233;ZNF234;ZNF235;ZNF24;ZNF25;ZNF250;ZNF257;ZNF26;ZNF260;ZNF263;ZNF264;ZNF268;ZNF274;ZNF276;ZNF28;ZNF280A;ZNF280B;ZNF280C;ZNF280D;ZNF281;ZNF282;ZNF283;ZNF284;ZNF285;ZNF286A;ZNF286B;ZNF3;ZNF30;ZNF300;ZNF302;ZNF317;ZNF32;ZNF320;ZNF322;ZNF324;ZNF324B;ZNF329;ZNF331;ZNF333;ZNF33A;ZNF33B;ZNF343;ZNF345;ZNF347;ZNF350;ZNF354A;ZNF354B;ZNF362;ZNF366;ZNF383;ZNF384;ZNF394;ZNF397;ZNF398;ZNF404;ZNF41;ZNF410;ZNF419;ZNF420;ZNF431;ZNF432;ZNF436;ZNF439;ZNF44;ZNF440;ZNF442;ZNF443;ZNF446;ZNF449;ZNF45;ZNF460;ZNF468;ZNF479;ZNF484;ZNF490;ZNF500;ZNF502;ZNF524;ZNF525;ZNF528;ZNF543;ZNF544;ZNF546;ZNF547;ZNF548;ZNF549;ZNF554;ZNF555;ZNF557;ZNF558;ZNF559;ZNF561;ZNF562;ZNF563;ZNF564;ZNF566;ZNF567;ZNF568;ZNF57;ZNF570;ZNF571;ZNF572;ZNF577;ZNF581;ZNF582;ZNF583;ZNF585A;ZNF586;ZNF589;ZNF595;ZNF599;ZNF600;ZNF605;ZNF607;ZNF611;ZNF613;ZNF614;ZNF615;ZNF616;ZNF619;ZNF620;ZNF621;ZNF625;ZNF627;ZNF649;ZNF652;ZNF653;ZNF665;ZNF667;ZNF669;ZNF670;ZNF672;ZNF679;ZNF680;ZNF683;ZNF689;ZNF692;ZNF701;ZNF705D;ZNF705E;ZNF705G;ZNF708;ZNF709;ZNF71;ZNF710;ZNF713;ZNF721;ZNF727;ZNF729;ZNF736;ZNF75A;ZNF75D;ZNF76;ZNF763;ZNF764;ZNF765;ZNF768;ZNF77;ZNF771;ZNF773;ZNF774;ZNF776;ZNF777;ZNF780A;ZNF780B;ZNF782;ZNF785;ZNF799;ZNF805;ZNF808;ZNF81;ZNF813;ZNF816;ZNF823;ZNF829;ZNF836;ZNF841;ZNF844;ZNF845;ZNF846;ZNF85;ZNF853;ZNF860;ZNF878;ZNF891;ZNF99;ZSCAN16;ZSCAN2;ZSCAN22;ZSCAN23;ZSCAN29;ZSCAN31;ZSCAN32;ZSCAN4;ZSCAN5A;ZSCAN5B;ZSCAN5C;ZSCAN9;ZXDA;ZXDB;ZXDC,ZNF146;ZNF260
IRF1_HUMAN.H11MO.0.A,24,0.3037974683544304,1.1975002380210487,3.444930126171372,2.0578607293614812,0.0064561629926394755,0.06300888186487387,Interferon-regulatory factors{3.5.3},IRF-1{3.5.3.0.1},IRF1;IRF2;IRF3;IRF4;IRF5;IRF6;IRF7;IRF8;IRF9,IRF1
GATA3_HUMAN.H11MO.0.A,13,0.16455696202531644,1.192571990679069,4.58849033042973,2.4233764411433216,0.008745571994031984,0.0784050698534728,GATA-type zinc fingers{2.2.1},Two zinc-finger GATA factors{2.2.1.1},GATA1;GATA2;GATA3;GATA4;GATA5;GATA6;GATAD2A;GATAD2B;TRPS1;ZGLP1,GATA1;GATA2;GATA3;GATA4;GATA5;GATA6
GSX2_HUMAN.H11MO.0.D,9,0.11392405063291139,1.1823641177902784,5.9204947091493585,2.799624329517894,0.01003200350254497,0.08594083000513525,HOX-related factors{3.1.1},GSX{3.1.1.12},CDX1;CDX2;CDX4;EVX1;EVX2;GBX1;GBX2;GSX1;GSX2;HDX;HMBOX1;HNF1A;HNF1B;HOXA1;HOXA10;HOXA11;HOXA13;HOXA2;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB1;HOXB13;HOXB2;HOXB3;HOXB4;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC10;HOXC11;HOXC12;HOXC13;HOXC4;HOXC5;HOXC6;HOXC8;HOXC9;HOXD1;HOXD10;HOXD11;HOXD12;HOXD13;HOXD3;HOXD4;HOXD8;HOXD9;MEOX1;MEOX2;MNX1;PDX1;POU1F1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU4F2;POU4F3;POU5F1;POU5F2;POU6F1;POU6F2,GSX1;GSX2
IRF2_HUMAN.H11MO.0.A,22,0.27848101265822783,1.180115347524441,3.499991034501122,2.0643262897718904,0.007455241106038788,0.06925290232236031,Interferon-regulatory factors{3.5.3},IRF-2{3.5.3.0.2},IRF1;IRF2;IRF3;IRF4;IRF5;IRF6;IRF7;IRF8;IRF9,IRF2
