Probe,GeneID,Symbol,Distance,Sides,Raw.p
cg00050294,ENSG00000235169,SMIM1,802532,R10,0.938539435316751
cg00163018,ENSG00000143669,LYST,-1366872,L10,0.9992135185544975
cg00163018,ENSG00000116962,NID1,-1185350,L9,0.9622197162370294
cg00163018,ENSG00000077585,GPR137B,-1028647,L8,0.9562735553790577
cg00163018,ENSG00000086619,ERO1LB,-968493,L7,0.9562735553790577
cg00163018,ENSG00000186197,EDARADD,-765598,L6,0.2577416567746579
cg00163018,ENSG00000116977,LGALS8,-697531,L5,0.37252933773998353
cg00163018,ENSG00000119285,HEATR1,-646008,L4,3.4277551562748496e-4
cg00163018,ENSG00000077522,ACTN2,-485881,L3,0.9881509587518572
cg00163018,ENSG00000116984,MTR,-346531,L2,0.2577416567746579
cg00163018,ENSG00000198626,RYR2,-0,L1,0.9878844906664295
cg00163018,ENSG00000237250,RP11-193H5.1,611660,R1,0.0820536424831293
cg00163018,ENSG00000116996,ZP4,631890,R2,0.9250125299798704
cg00163018,ENSG00000215808,LINC01139,1229869,R3,0.08561093706992462
cg00163018,ENSG00000133019,CHRM3,2136050,R4,5.586754422961248e-4
cg00163018,ENSG00000155816,FMN2,2763833,R5,0.9996314121999822
cg00163018,ENSG00000180875,GREM2,3239058,R6,0.9988170850803698
cg00163018,ENSG00000182901,RGS7,3517739,R7,0.9983698728586105
cg00163018,ENSG00000091483,FH,4247088,R8,0.022948368288793323
cg00163018,ENSG00000117009,KMO,4281619,R9,0.9999999940681386
cg00163018,ENSG00000054277,OPN3,4339589,R10,0.9979212682018135
cg00255699,ENSG00000182109,RP11-69E11.4,-295397,L10,0.2751234659907784
cg00255699,ENSG00000201457,SNORA55,-274076,L9,0.521554238401136
cg00255699,ENSG00000090621,PABPC4,-264794,L8,0.2751234659907784
cg00255699,ENSG00000163909,HEYL,-201639,L7,0.024643868165791914
cg00255699,ENSG00000116981,NT5C1A,-169546,L6,0.559757963571664
cg00255699,ENSG00000116983,HPCAL4,-149895,L5,0.011419053048872255
cg00255699,ENSG00000084072,PPIE,-77670,L4,0.09286239763341596
cg00255699,ENSG00000198754,OXCT2,-70236,L3,0.16843581332607785
cg00255699,ENSG00000116985,BMP8B,-52723,L2,0.013101199983203114
cg00255699,ENSG00000043514,TRIT1,-0,L1,6.115595053962526e-5
cg00255699,ENSG00000116990,MYCL,53839,R1,1.9470571153050675e-5
cg00255699,ENSG00000168389,MFSD2A,113543,R2,0.5660638878198215
cg00255699,ENSG00000131236,CAP1,198646,R3,0.8218796060448004
cg00255699,ENSG00000131238,PPT1,231120,R4,0.06618540998259514
cg00255699,ENSG00000117000,RLF,319786,R5,2.5263188167816942e-5
cg00255699,ENSG00000188800,TMCO2,404360,R6,0.6015018383069493
cg00255699,ENSG00000084073,ZMPSTE24,416520,R7,0.6274706622600165
cg00255699,ENSG00000049089,COL9A2,458900,R8,3.927777984881335e-6
cg00255699,ENSG00000084070,SMAP2,503263,R9,0.30355285465063886
cg00255699,ENSG00000187801,ZFP69B,608515,R10,5.892042381386525e-4
cg00329272,ENSG00000157911,PEX10,-846244,L10,0.00444289047243235
cg00329272,ENSG00000149527,PLCH2,-754511,L9,0.0017142426454352915
cg00329272,ENSG00000157881,PANK4,-733441,L8,0.008787872909439715
cg00329272,ENSG00000197921,HES5,-729796,L7,0.05018170914776854
cg00329272,ENSG00000157873,TNFRSF14,-694659,L6,0.96522698954562125
cg00329272,ENSG00000157870,FAM213B,-668572,L5,0.05280471882091606
cg00329272,ENSG00000142606,MMEL1,-626999,L4,0.11968218581418424
cg00329272,ENSG00000169717,ACTRT2,-252015,L3,0.28394797697393803
cg00329272,ENSG00000177133,LINC00982,-206479,L2,0.999977839914017
cg00329272,ENSG00000142611,PRDM16,-0,L1,0.999992893056928
cg00329272,ENSG00000130762,ARHGEF16,179507,R1,0.003799900334658418
cg00329272,ENSG00000162591,MEGF6,215001,R2,0.3840297418026808
cg00329272,ENSG00000158109,TPRG1L,350083,R3,0.03362646946420242
cg00329272,ENSG00000116213,WRAP73,355848,R4,3.2664870808544195e-5
cg00329272,ENSG00000078900,TP73,377601,R5,1.707083203289954e-5
cg00329272,ENSG00000227372,TP73-AS1,461065,R6,0.07978584853872836
cg00329272,ENSG00000162592,CCDC27,477479,R7,0.7718449020464936
cg00329272,ENSG00000235169,SMIM1,497869,R8,0.6857934520402676
cg00329272,ENSG00000130764,LRRC47,505301,R9,1.6896525987915585e-4
cg00329272,ENSG00000116198,CEP104,537162,R10,0.08091374799881729
cg00340127,ENSG00000180875,GREM2,-1475058,L10,0.9999735405750761
cg00340127,ENSG00000182901,RGS7,-729977,L9,0.9667848858372321
cg00340127,ENSG00000091483,FH,-567446,L8,1.4608209804737964e-4
cg00340127,ENSG00000117009,KMO,-491563,L7,0.9998738726268714
cg00340127,ENSG00000203668,CHML,-451275,L6,0.12519370878425473
cg00340127,ENSG00000054277,OPN3,-409829,L5,0.9941007250512762
cg00340127,ENSG00000162843,WDR64,-285072,L4,0.8354708055446523
cg00340127,ENSG00000174371,EXO1,-192057,L3,8.554795529725654e-5
cg00340127,ENSG00000197769,MAP1LC3C,-88132,L2,0.9999898586231365
cg00340127,ENSG00000180287,PLD5,-0,L1,0.9999995873402174
cg00340127,ENSG00000143702,CEP170,1037220,R1,0.9576563068739596
cg00340127,ENSG00000054282,SDCCAG8,1168810,R2,0.8199015518114668
cg00340127,ENSG00000117020,AKT3,1401025,R3,0.9998879643884453
cg00340127,ENSG00000179456,ZBTB18,1964075,R4,0.9999730518797254
cg00340127,ENSG00000173728,C1orf100,2265427,R5,0.012334820198744509
cg00340127,ENSG00000035687,ADSS,2321286,R6,1.2240036393689558e-5
cg00340127,ENSG00000179397,C1orf101,2367169,R7,0.6473220284641169
cg00340127,ENSG00000121644,DESI2,2565727,R8,0.02336275395844943
cg00340127,ENSG00000203667,COX20,2748114,R9,0.0033165682545879564
cg00340127,ENSG00000188206,HNRNPU-AS1,2753430,R10,0.6667761151115219
cg00393673,ENSG00000162733,DDR2,-2737292,L10,0.9999877599636063
cg00393673,ENSG00000132196,HSD17B7,-2711875,L9,5.019584240995478e-4
cg00393673,ENSG00000185860,C1orf110,-2655877,L8,0.1499615274306214
cg00393673,ENSG00000117152,RGS4,-2447890,L7,0.9998975483067508
cg00393673,ENSG00000232995,RP11-267N12.3,-2202798,L6,0.99999967498996
cg00393673,ENSG00000143228,NUF2,-2168928,L5,3.244440473570121e-10
cg00393673,ENSG00000185630,PBX1,-625949,L4,0.006847229779300732
cg00393673,ENSG00000162761,LMX1A,-168530,L3,0.001073438653288995
cg00393673,ENSG00000143171,RXRG,-80049,L2,0.8410941960620071
cg00393673,ENSG00000237463,RP11-280O1.2,-0,L1,0.8926139237281204
cg00393673,ENSG00000162763,LRRC52,18759,R1,0.9137371079646817
cg00393673,ENSG00000143198,MGST3,105613,R2,0.9144540906821386
cg00393673,ENSG00000143149,ALDH9A1,136968,R3,0.005411528306075945
cg00393673,ENSG00000143183,TMCO1,201547,R4,5.737521869570242e-4
cg00393673,ENSG00000143179,UCK2,302283,R5,3.2128940622774853e-11
cg00393673,ENSG00000188859,FAM78B,532189,R6,0.9801490439559161
cg00393673,ENSG00000215834,FMO9P,1078427,R7,0.0015681087885735577
cg00393673,ENSG00000143157,POGK,1314196,R8,1.5378958166943284e-6
cg00393673,ENSG00000152382,TADA1,1331262,R9,1.7327612625914557e-10
cg00393673,ENSG00000143195,ILDR2,1387958,R10,0.8491548063025529
cg00508158,ENSG00000187048,CYP4A11,-782357,L10,0.38440640507485535
cg00508158,ENSG00000186377,CYP4X1,-673090,L9,0.006775139233684397
cg00508158,ENSG00000186160,CYP4Z1,-605522,L8,0.02458288989630354
cg00508158,ENSG00000162366,PDZK1IP1,-532797,L7,0.9863804760966374
cg00508158,ENSG00000162367,TAL1,-491621,L6,0.9488044536066679
cg00508158,ENSG00000123473,STIL,-409694,L5,1.0875117807107979e-4
cg00508158,ENSG00000162368,CMPK1,-345002,L4,0.07756578436355707
cg00508158,ENSG00000186790,FOXE3,-305790,L3,0.023816473110411067
cg00508158,ENSG00000237424,FOXD2-AS1,-289200,L2,0.03251122475609193
cg00508158,ENSG00000186564,FOXD2,-283150,L1,0.08436966255989213
cg00508158,ENSG00000242267,SKINTL,372248,R1,0.17563099283292843
cg00508158,ENSG00000117834,SLC5A9,498841,R2,0.8472416104486524
cg00508158,ENSG00000132122,SPATA6,571528,R3,0.8853845114658891
cg00508158,ENSG00000186094,AGBL4,809011,R4,0.5331897213849767
cg00508158,ENSG00000162373,BEND5,1003679,R5,0.16093827693224724
cg00508158,ENSG00000162374,ELAVL4,2324170,R6,0.9727129079833838
cg00508158,ENSG00000142700,DMRTA2,2693706,R7,0.015538846928842416
cg00508158,ENSG00000185104,FAF1,2715634,R8,0.012848493313999225
cg00508158,ENSG00000123080,CDKN2C,3236901,R9,0.003799900334658418
cg00508158,ENSG00000204006,C1orf185,3378390,R10,0.28394797697393803
cg00665114,ENSG00000185278,ZBTB37,-1530659,L10,0.6804072231958738
cg00665114,ENSG00000117601,SERPINC1,-1516830,L9,0.9999549234325612
cg00665114,ENSG00000135870,RC3H1,-1411911,L8,0.4073298868235202
cg00665114,ENSG00000203737,GPR52,-984663,L7,0.06338213161027963
cg00665114,ENSG00000152061,RABGAP1L,-438901,L6,0.9969037281386507
cg00665114,ENSG00000116161,CACYBP,-422495,L5,0.004156282387079705
cg00665114,ENSG00000120333,MRPS14,-410785,L4,0.05362421789372092
cg00665114,ENSG00000120332,TNN,-286144,L3,0.999426342639951
cg00665114,ENSG00000235750,KIAA0040,-241211,L2,0.999998721318008
cg00665114,ENSG00000116147,TNR,-0,L1,0.9999995005070224
cg00665114,ENSG00000143207,RFWD2,510618,R1,0.010974309608372753
cg00665114,ENSG00000252906,SCARNA3,534185,R2,0.16385833235971298
cg00665114,ENSG00000116183,PAPPA2,1028958,R3,0.7908788178753758
cg00665114,ENSG00000152092,ASTN1,1423089,R4,0.9995645539148502
cg00665114,ENSG00000198797,BRINP2,1737284,R5,0.9966133847001805
cg00665114,ENSG00000120341,SEC16B,2489742,R6,0.9892423554089071
cg00665114,ENSG00000224687,RASAL2-AS1,2657294,R7,0.8077455556743294
cg00665114,ENSG00000075391,RASAL2,2659515,R8,0.6303285427331047
cg00665114,ENSG00000240021,TEX35,3078863,R9,0.24604417386971114
cg00665114,ENSG00000213057,C1orf220,3108538,R10,0.20922209617488502
cg00760014,ENSG00000159339,PADI4,-1577327,L10,0.999171822791572
cg00760014,ENSG00000179051,RCC2,-1501606,L9,1.716873992709928e-6
cg00760014,ENSG00000074964,ARHGEF10L,-1243457,L8,0.9999287061688013
cg00760014,ENSG00000117148,ACTL8,-1114268,L7,0.03773169590643854
cg00760014,ENSG00000117154,IGSF21,-562849,L6,0.946375782106279
cg00760014,ENSG00000179023,KLHDC7A,-455348,L5,0.9948187687238478
cg00760014,ENSG00000009709,PAX7,-192466,L4,0.02522277969284955
cg00760014,ENSG00000179002,TAS1R2,-81650,L3,0.12210514672729733
cg00760014,ENSG00000159423,ALDH4A1,-38551,L2,0.2504707347432126
cg00760014,ENSG00000169991,IFFO2,-0,L1,0.7299011130253321
cg00760014,ENSG00000127481,UBR4,133171,R1,0.20705415813101094
cg00760014,ENSG00000127463,EMC1,274329,R2,0.00167302714158087
cg00760014,ENSG00000053372,MRTO4,310204,R3,0.01617666168684658
cg00760014,ENSG00000162482,AKR7A3,341223,R4,0.011419053048872255
cg00760014,ENSG00000053371,AKR7A2,362630,R5,0.5481506840821058
cg00760014,ENSG00000040487,PQLC2,370991,R6,0.9526569377864642
cg00760014,ENSG00000077549,CAPZB,397438,R7,0.9999640633519403
cg00760014,ENSG00000270136,MINOS1-NBL1,655644,R8,0.9999537568186617
cg00760014,ENSG00000173436,MINOS1,655648,R9,0.9156303374401079
cg00760014,ENSG00000158748,HTR6,723951,R10,0.3849361065226263
cg00935967,ENSG00000116213,WRAP73,-253436,L10,3.0626636123795542e-6
cg00935967,ENSG00000078900,TP73,-169996,L9,1.482319769838099e-6
cg00935967,ENSG00000227372,TP73-AS1,-158861,L8,0.17615609102627988
cg00935967,ENSG00000162592,CCDC27,-134552,L7,0.10136731573199828
cg00935967,ENSG00000235169,SMIM1,-130215,L6,0.9663735305357976
cg00935967,ENSG00000130764,LRRC47,-109693,L5,4.4816887497962645e-5
cg00935967,ENSG00000116198,CEP104,-48983,L4,0.009927801330676216
cg00935967,ENSG00000169598,DFFB,-20768,L3,0.025530286702286978
cg00935967,ENSG00000198912,C1orf174,-5904,L2,8.948912816913879e-4
cg00935967,ENSG00000236423,LINC01134,-0,L1,0.9989569533364095
cg00935967,ENSG00000235054,RP5-1166F10.1,649347,R1,0.006969645006586658
cg00935967,ENSG00000196581,AJAP1,892028,R2,0.9954117030198977
cg00935967,ENSG00000131697,NPHP4,2100107,R3,0.06054800568761365
cg00935967,ENSG00000069424,KCNAB2,2228762,R4,0.9999946129926159
cg00935967,ENSG00000116254,CHD5,2339089,R5,0.5271514646865614
cg00935967,ENSG00000116251,RPL22,2418565,R6,0.05614326915892574
cg00935967,ENSG00000158286,RNF207,2442771,R7,0.025530286702286978
cg00935967,ENSG00000116237,ICMT,2458489,R8,0.569037291835346
cg00935967,ENSG00000173673,HES3,2481488,R9,0.5
cg00935967,ENSG00000158292,GPR153,2484642,R10,0.8014837282497819
cg00974095,ENSG00000168653,NDUFS5,-654305,L10,0.004156282387079705
cg00974095,ENSG00000255103,KIAA0754,-272459,L9,0.13153566949824097
cg00974095,ENSG00000127603,MACF1,-201764,L8,0.9906573627385413
cg00974095,ENSG00000183682,BMP8A,-163006,L7,0.020589996639260495
cg00974095,ENSG00000182109,RP11-69E11.4,-142754,L6,0.0020296126434069094
cg00974095,ENSG00000201457,SNORA55,-121433,L5,0.041079718296884726
cg00974095,ENSG00000090621,PABPC4,-112151,L4,0.0010698222403216604
cg00974095,ENSG00000163909,HEYL,-48996,L3,0.9999703235957412
cg00974095,ENSG00000116981,NT5C1A,-16903,L2,0.973161763177644
cg00974095,ENSG00000116983,HPCAL4,-0,L1,0.9998048308636657
cg00974095,ENSG00000084072,PPIE,3238,R1,3.481307282671791e-5
cg00974095,ENSG00000116985,BMP8B,68238,R2,0.17615609102627988
cg00974095,ENSG00000198754,OXCT2,80579,R3,0.01931120813343081
cg00974095,ENSG00000043514,TRIT1,152107,R4,6.756563712239845e-7
cg00974095,ENSG00000116990,MYCL,206482,R5,1.6896525987915585e-4
cg00974095,ENSG00000168389,MFSD2A,266186,R6,0.661260068153421
cg00974095,ENSG00000131236,CAP1,351289,R7,0.9394519943123864
cg00974095,ENSG00000131238,PPT1,383763,R8,0.9964491424584144
cg00974095,ENSG00000117000,RLF,472429,R9,5.574264758336056e-5
cg00974095,ENSG00000188800,TMCO2,557003,R10,0.9356301807550038
cg01074104,ENSG00000084070,SMAP2,-435395,L10,0.999999710984527
cg01074104,ENSG00000187801,ZFP69B,-395003,L9,0.005181369490192657
cg01074104,ENSG00000187815,ZFP69,-362378,L8,0.013358190949513755
cg01074104,ENSG00000164002,EXO5,-342165,L7,0.5301388922909962
cg01074104,ENSG00000117010,ZNF684,-310552,L6,0.9858445510968676
cg01074104,ENSG00000117016,RIMS3,-193064,L5,0.9999986730844438
cg01074104,ENSG00000272145,NFYC-AS1,-166655,L4,0.014993370708144806
cg01074104,ENSG00000066136,NFYC,-87118,L3,0.49396670628660044
cg01074104,ENSG00000117013,KCNQ4,-18269,L2,0.17034235262590602
cg01074104,ENSG00000179862,CITED4,2333,L1,0.0384065081923845
cg01074104,ENSG00000171793,CTPS1,120611,R1,0.010974309608372753
cg01074104,ENSG00000171790,SLFNL1,156873,R2,0.22250671359737884
cg01074104,ENSG00000010803,SCMH1,168476,R3,0.9973052281925155
cg01074104,ENSG00000127129,EDN2,620050,R4,0.4176328262473961
cg01074104,ENSG00000127124,HIVEP3,647640,R5,0.9999997530453514
cg01074104,ENSG00000044012,GUCA2B,1294696,R6,0.8407617573738901
cg01074104,ENSG00000197273,GUCA2A,1303966,R7,0.9784329903317219
cg01074104,ENSG00000198815,FOXJ3,1317814,R8,0.36682075821439875
cg01074104,ENSG00000177181,RIMKLA,1522070,R9,0.2651206375404519
cg01074104,ENSG00000066185,ZMYND12,1571604,R10,0.9996665720073122
cg01176047,ENSG00000119285,HEATR1,-3887557,L10,0.027863732291060577
cg01176047,ENSG00000077522,ACTN2,-3727430,L9,0.9997336873662661
cg01176047,ENSG00000116984,MTR,-3588080,L8,0.7774924641875058
cg01176047,ENSG00000198626,RYR2,-2658073,L7,0.965804210063664
cg01176047,ENSG00000116996,ZP4,-2601267,L6,0.9771046187670905
cg01176047,ENSG00000237250,RP11-193H5.1,-2563740,L5,0.017767514008620453
cg01176047,ENSG00000215808,LINC01139,-2006038,L4,0.44575633349482746
cg01176047,ENSG00000133019,CHRM3,-576611,L3,1.6602562797273418e-7
cg01176047,ENSG00000155816,FMN2,-16872,L2,0.9972448107477195
cg01176047,ENSG00000180875,GREM2,-0,L1,0.9999855543091769
cg01176047,ENSG00000182901,RGS7,276190,R1,0.9986406083336895
cg01176047,ENSG00000091483,FH,1005539,R2,0.00860947961833709
cg01176047,ENSG00000117009,KMO,1040070,R3,0.9999999604016838
cg01176047,ENSG00000054277,OPN3,1098040,R4,0.9999712608426109
cg01176047,ENSG00000203668,CHML,1136791,R5,0.09668967327225425
cg01176047,ENSG00000162843,WDR64,1160216,R6,0.9980570081135783
cg01176047,ENSG00000174371,EXO1,1355905,R7,0.0024538764217568575
cg01176047,ENSG00000197769,MAP1LC3C,1503428,R8,0.9999999545674525
cg01176047,ENSG00000180287,PLD5,1590924,R9,0.9999978055881062
cg01176047,ENSG00000143702,CEP170,2632366,R10,0.9976032206183685
cg01441127,ENSG00000258664,IFRG15,-1178180,L10,0.43393611218017847
cg01441127,ENSG00000143337,TOR1AIP1,-1118356,L9,0.41321008291797967
cg01441127,ENSG00000135837,CEP350,-928476,L8,0.017767514008620453
cg01441127,ENSG00000116260,QSOX1,-839326,L7,0.9904657515616881
cg01441127,ENSG00000121454,LHX4,-763111,L6,0.03655231618318839
cg01441127,ENSG00000135847,ACBD6,-540402,L5,1.6551035635360708e-6
cg01441127,ENSG00000143324,XPR1,-153104,L4,0.002889239208669839
cg01441127,ENSG00000135835,KIAA1614,-91741,L3,0.9941007250512762
cg01441127,ENSG00000135823,STX6,-20444,L2,0.03904116819346752
cg01441127,ENSG00000153029,MR1,-0,L1,0.938539435316751
cg01441127,ENSG00000162783,IER5,45144,R1,0.9915657291565438
cg01441127,ENSG00000198216,CACNA1E,369744,R2,0.9969037281386507
cg01441127,ENSG00000179930,ZNF648,1011211,R3,0.6141261820136226
cg01441127,ENSG00000135821,GLUL,1338345,R4,0.5660638878198215
cg01441127,ENSG00000203730,TEDDM1,1354758,R5,1.835370189466882e-5
cg01441127,ENSG00000121446,RGSL1,1406762,R6,0.020389605956740185
cg01441127,ENSG00000135828,RNASEL,1530275,R7,0.26760392660302995
cg01441127,ENSG00000143333,RGS16,1555264,R8,0.99999997290842
cg01441127,ENSG00000135824,RGS8,1602745,R9,0.8496277276318042
cg01441127,ENSG00000135838,NPL,1745934,R10,0.05614326915892574
cg01791421,ENSG00000127481,UBR4,-459469,L10,0.005295336831886253
cg01791421,ENSG00000127463,EMC1,-418193,L9,9.41977948529193e-4
cg01791421,ENSG00000053372,MRTO4,-409617,L8,1.1065672161529982e-5
cg01791421,ENSG00000162482,AKR7A3,-380495,L7,5.929871527226041e-5
cg01791421,ENSG00000053371,AKR7A2,-357599,L6,0.03419578993633597
cg01791421,ENSG00000040487,PQLC2,-340445,L5,0.7323960733969701
cg01791421,ENSG00000077549,CAPZB,-184173,L4,0.946375782106279
cg01791421,ENSG00000173436,MINOS1,-39925,L3,0.12057954128239491
cg01791421,ENSG00000270136,MINOS1-NBL1,-11690,L2,0.9989301777596783
cg01791421,ENSG00000158748,HTR6,-0,L1,0.9627312395786157
cg01791421,ENSG00000162542,TMCO4,12464,R1,0.907137602366584
cg01791421,ENSG00000178828,RNF186,144281,R2,0.13582652820937294
cg01791421,ENSG00000169914,OTUD3,212764,R3,1.1065672161529982e-5
cg01791421,ENSG00000188784,PLA2G2E,250260,R4,1
cg01791421,ENSG00000188257,PLA2G2A,305683,R5,0.9949309537169628
cg01791421,ENSG00000127472,PLA2G5,358430,R6,0.9999999374109401
cg01791421,ENSG00000117215,PLA2G2D,442190,R7,0.9976032206183685
cg01791421,ENSG00000158786,PLA2G2F,469577,R8,0.5838969401173768
cg01791421,ENSG00000187980,PLA2G2C,491504,R9,0.949691395018632
cg01791421,ENSG00000162543,UBXN10,516336,R10,0.9998775436502954
cg01967586,ENSG00000181873,IBA57,-524587,L10,0.03419578993633597
cg01967586,ENSG00000154358,OBSCN,-327968,L9,0.527129911843075
cg01967586,ENSG00000154370,TRIM11,-300004,L8,0.8238439089737202
cg01967586,ENSG00000162931,TRIM17,-289983,L7,0.7273945698236055
cg01967586,ENSG00000168148,HIST3H3,-281519,L6,0.8834434734366444
cg01967586,ENSG00000181218,HIST3H2A,-248985,L5,0.14487594061954165
cg01967586,ENSG00000196890,HIST3H2BB,-248286,L4,0.5941650010357387
cg01967586,ENSG00000168159,RNF187,-211078,L3,0.5391548298266795
cg01967586,ENSG00000183929,DUSP5P1,-106395,L2,0.4279932121626445
cg01967586,ENSG00000116574,RHOU,-12129,L1,0.999999999163991
cg01967586,ENSG00000168118,RAB4A,512274,R1,0.9615934918076154
cg01967586,ENSG00000154429,CCSAP,562210,R2,0.8778958976947249
cg01967586,ENSG00000143632,ACTA1,672444,R3,0.5451553925769129
cg01967586,ENSG00000069248,NUP133,682497,R4,0.7299011130253321
cg01967586,ENSG00000135776,ABCB10,757781,R5,0.8463388025663213
cg01967586,ENSG00000135801,TAF5L,834310,R6,0.8668447811051132
cg01967586,ENSG00000135763,URB2,867433,R7,0.1881478000312422
cg01967586,ENSG00000143641,GALNT2,1298988,R8,0.8238439089737202
cg01967586,ENSG00000177614,PGBD5,1562844,R9,0.58089018686895455
cg01967586,ENSG00000135775,COG2,1883687,R10,0.5541345030211722
cg02030141,ENSG00000237424,FOXD2-AS1,-3223942,L10,0.01388525700914109
cg02030141,ENSG00000186564,FOXD2,-3217892,L9,0.16279213551298868
cg02030141,ENSG00000242267,SKINTL,-2476155,L8,0.7748119995262861
cg02030141,ENSG00000117834,SLC5A9,-2409939,L7,0.7752405612338424
cg02030141,ENSG00000132122,SPATA6,-2186410,L6,0.7495292652567874
cg02030141,ENSG00000162373,BEND5,-1881614,L5,0.14145843321872398
cg02030141,ENSG00000186094,AGBL4,-634670,L4,0.06586718873956474
cg02030141,ENSG00000162374,ELAVL4,-454797,L3,0.9831903323736473
cg02030141,ENSG00000142700,DMRTA2,-235083,L2,0.0052835411061290674
cg02030141,ENSG00000185104,FAF1,-0,L1,0.1722688011637544
cg02030141,ENSG00000123080,CDKN2C,302159,R1,0.18209023609589192
cg02030141,ENSG00000204006,C1orf185,443648,R2,1
cg02030141,ENSG00000123091,RNF11,577685,R3,0.4578440940724327
cg02030141,ENSG00000085831,TTC39A,628672,R4,0.5630867408919147
cg02030141,ENSG00000085832,EPS15,695677,R5,0.9999999997896263
cg02030141,ENSG00000117859,OSBPL9,918593,R6,0.5030167331057521
cg02030141,ENSG00000078618,NRD1,1130605,R7,0.16843668601534834
cg02030141,ENSG00000169213,RAB3B,1249370,R8,8.554795529725654e-5
cg02030141,ENSG00000117862,TXNDC12,1361545,R9,0.04099653039396473
cg02030141,ENSG00000198841,KTI12,1373517,R10,0.13478843921826633
cg02338271,ENSG00000117501,MROH9,-834208,L10,0.9781496564253869
cg02338271,ENSG00000007933,FMO3,-781155,L9,0.9815597540968816
cg02338271,ENSG00000094963,FMO2,-686292,L8,0.9995370284018125
cg02338271,ENSG00000010932,FMO1,-612997,L7,0.41321008291797967
cg02338271,ENSG00000076258,FMO4,-556891,L6,0.2225075358124942
cg02338271,ENSG00000117523,PRRC2C,-305464,L5,7.663065522942167e-4
cg02338271,ENSG00000034971,MYOC,-246291,L4,0.5754506957893339
cg02338271,ENSG00000117533,VAMP4,-156727,L3,7.273794518352139e-4
cg02338271,ENSG00000010165,METTL13,-84951,L2,1.1065672161529982e-5
cg02338271,ENSG00000197959,DNM3,-0,L1,0.9922356519549477
cg02338271,ENSG00000135845,PIGC,471212,R1,5.156151001614826e-4
cg02338271,ENSG00000180999,C1orf105,521711,R2,0.48157049696253074
cg02338271,ENSG00000094975,SUCO,633372,R3,0.014430158691300956
cg02338271,ENSG00000117560,FASLG,760037,R4,0.9999998527776872
cg02338271,ENSG00000120337,TNFSF18,1140983,R5,0.12898997277385432
cg02338271,ENSG00000117586,TNFSF4,1284756,R6,0.9976032206183685
cg02338271,ENSG00000117592,PRDX6,1578288,R7,5.156151001614826e-4
